{'#8': [33.3, 17.2, 34.4, 4.3, 7.5, 2.2, None, 1.1, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Intro to Agr & Applied Econ', '#7': 3.283, '#6': 93, '#5': '001', '#4': '215'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'PSYCHOLOGY', '#7': 4.0, '#6': 11, '#5': '001', '#4': '707'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'PSYCHOLOGY', '#7': 4.0, '#6': 12, '#5': '002', '#4': '707'}
{'#8': [50.0, 30.0, 20.0, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Dsgn&Anal-Psych Experiments', '#7': 3.65, '#6': 20, '#5': '001', '#4': '710'}
{'#8': [92.3, None, None, None, None, None, None, 7.7, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Dsgn&Anal-Psych Experiments', '#7': 4.0, '#6': 13, '#5': '001', '#4': '711'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Dsgn&Anal-Psych Experiments', '#7': 4.0, '#6': 8, '#5': '003', '#4': '711'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Classic Iss in Social Psych', '#7': 4.0, '#6': 13, '#5': '001', '#4': '728'}
{'#8': [85.7, None, None, None, None, None, 14.3, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Classic Iss in Social Psych', '#7': 3.429, '#6': 7, '#5': '001', '#4': '740'}
{'#8': [85.7, None, None, None, None, None, 14.3, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Classic Iss in Social Psych', '#7': 3.429, '#6': 7, '#5': '002', '#4': '740'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Intro-Clinical Assessment', '#7': None, '#6': 3, '#5': '001', '#4': '801'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Field Work-Clinical Psych', '#7': 4.0, '#6': 16, '#5': '001', '#4': '805'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '001', '#4': '911'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 2, '#5': '002', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '003', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '006', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 3, '#5': '007', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 2, '#5': '009', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 3, '#5': '011', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '012', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 4, '#5': '014', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 2, '#5': '016', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 3, '#5': '017', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 2, '#5': '020', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 2, '#5': '021', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '022', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 4, '#5': '023', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 3, '#5': '024', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '027', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 4, '#5': '029', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '031', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 2, '#5': '032', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 3, '#5': '037', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 2, '#5': '038', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 3, '#5': '039', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 5, '#5': '040', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '044', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 2, '#5': '045', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '047', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '051', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 2, '#5': '053', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '055', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 1, '#5': '059', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, 100.0, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'Seminar Clinical Psychology', '#7': None, '#6': 6, '#5': '065', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 820, '#2': 'L&S', '#1': 'PSYCHOLOGY', '#7': None, '#6': 1, '#5': '075', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Soft Power in Europe and U.S.', '#7': None, '#6': 1, '#5': '001', '#4': '724'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Public Affairs Seminar Series', '#7': None, '#6': 5, '#5': '001', '#4': '802'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Energy Analysis Seminar', '#7': None, '#6': 3, '#5': '001', '#4': '810'}
{'#8': [25.9, 29.6, 33.3, 7.4, None, None, None, None, None, None, None, None, None, None, 3.7], '#3': 826, '#2': 'L&S', '#1': 'Adv Stat Meths-Pub Pol Anal', '#7': 3.385, '#6': 27, '#5': '001', '#4': '819'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Administrative Internship', '#7': None, '#6': 3, '#5': '001', '#4': '827'}
{'#8': [38.5, 30.8, 30.8, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Trade, Competition&Governance', '#7': 3.538, '#6': 13, '#5': '001', '#4': '856'}
{'#8': [62.5, 37.5, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': "Workshop-Int'l Public Affairs", '#7': 3.813, '#6': 8, '#5': '001', '#4': '860'}
{'#8': [69.2, 23.1, None, 7.7, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Health Policy&Policy Design', '#7': 3.769, '#6': 13, '#5': '001', '#4': '864'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Health Policy&Policy Design', '#7': 4.0, '#6': 12, '#5': '001', '#4': '869'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Health Policy&Policy Design', '#7': 4.0, '#6': 12, '#5': '002', '#4': '869'}
{'#8': [76.2, 23.8, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Workshop in Public Affairs', '#7': 3.881, '#6': 21, '#5': '001', '#4': '873'}
{'#8': [64.7, 29.4, 5.9, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Workshop in Public Affairs', '#7': 3.794, '#6': 17, '#5': '002', '#4': '873'}
{'#8': [68.8, 31.3, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Policy-Making Process', '#7': 3.844, '#6': 32, '#5': '001', '#4': '874'}
{'#8': [75.0, 16.7, 8.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Fed Budget&Tax Policy&Admin', '#7': 3.833, '#6': 12, '#5': '001', '#4': '890'}
{'#8': [78.6, 17.9, 3.6, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Performance Management', '#7': 3.875, '#6': 28, '#5': '001', '#4': '895'}
{'#8': [54.5, 36.4, 9.1, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Performance Management', '#7': 3.727, '#6': 11, '#5': '001', '#4': '974'}
{'#8': [76.9, 15.4, None, None, None, None, None, 7.7, None, None, None, None, None, None, None], '#3': 826, '#2': 'L&S', '#1': 'Performance Management', '#7': 3.917, '#6': 13, '#5': '004', '#4': '974'}
{'#8': [27.1, 55.6, 11.8, 2.1, None, 0.7, 1.4, 0.7, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Religion in Global Perspective', '#7': 3.489, '#6': 144, '#5': '001', '#4': '101'}
{'#8': [90.9, None, None, None, 9.1, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Consuming Happiness', '#7': 3.818, '#6': 11, '#5': '001', '#4': '173'}
{'#8': [33.3, 41.7, 4.2, None, 4.2, None, None, 16.7, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': "Introduction to the Qur'an", '#7': 3.6, '#6': 24, '#5': '001', '#4': '206'}
{'#8': [27.3, 45.5, 27.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'West Intell & Rel Hist to 1500', '#7': 3.5, '#6': 11, '#5': '001', '#4': '208'}
{'#8': [14.3, 28.6, 57.1, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Genres-Westrn Relig Writing', '#7': 3.286, '#6': 7, '#5': '001', '#4': '234'}
{'#8': [36.4, 13.6, 22.7, 4.5, 9.1, None, None, 9.1, None, None, None, None, 4.5, None, None], '#3': 856, '#2': 'L&S', '#1': 'Lt Tran:Dante-Divine Comedy', '#7': 3.368, '#6': 22, '#5': '001', '#4': '253'}
{'#8': [70.0, 30.0, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Environment and Religion', '#7': 3.85, '#6': 20, '#5': '001', '#4': '270'}
{'#8': [None, 66.7, 33.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Food in Rabbinic Judaism', '#7': 3.333, '#6': 6, '#5': '001', '#4': '278'}
{'#8': [42.6, 40.4, 8.5, 4.3, None, None, None, 2.1, None, None, None, None, None, 2.1, None], '#3': 856, '#2': 'L&S', '#1': 'Introduction to Buddhism', '#7': 3.633, '#6': 47, '#5': '001', '#4': '308'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'In Trans:Mythlgy-Scandnavia', '#7': None, '#6': 5, '#5': '001', '#4': '342'}
{'#8': [33.3, None, 33.3, 16.7, None, None, None, None, None, None, None, None, 16.7, None, None], '#3': 856, '#2': 'L&S', '#1': 'Anthropology of Religion', '#7': 3.306, '#6': 6, '#5': '001', '#4': '343'}
{'#8': [66.7, 33.3, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Jewish Lit: Greco-Roman Period', '#7': 3.833, '#6': 6, '#5': '001', '#4': '346'}
{'#8': [36.4, 27.3, 36.4, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Myth', '#7': 3.5, '#6': 11, '#5': '001', '#4': '359'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'The Anglo-Saxons', '#7': None, '#6': 2, '#5': '001', '#4': '360'}
{'#8': [68.8, 25.0, None, 6.3, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'The Anglo-Saxons', '#7': 3.781, '#6': 16, '#5': '001', '#4': '400'}
{'#8': [50.0, 33.3, 5.6, None, None, None, None, 11.1, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'The Anglo-Saxons', '#7': 3.75, '#6': 18, '#5': '004', '#4': '400'}
{'#8': [50.0, 31.3, 12.5, None, None, 6.3, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Topics in Religious Studies', '#7': 3.531, '#6': 16, '#5': '002', '#4': '403'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Islamic Hist:Orig-Ottoman Empr', '#7': None, '#6': 4, '#5': '001', '#4': '439'}
{'#8': [41.2, 23.5, 23.5, None, None, None, None, 11.8, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Buddhist Thought', '#7': 3.6, '#6': 17, '#5': '001', '#4': '466'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Philosophy of Religion', '#7': None, '#6': 1, '#5': '001', '#4': '501'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Religion and Public Education', '#7': None, '#6': 3, '#5': '001', '#4': '516'}
{'#8': [80.0, 10.0, 5.0, None, None, None, None, None, None, None, None, None, 5.0, None, None], '#3': 856, '#2': 'L&S', '#1': 'Religion-Critical Perspective', '#7': 3.895, '#6': 20, '#5': '001', '#4': '600'}
{'#8': [50.0, 12.5, 25.0, None, None, None, 12.5, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Senior Capstone Res & Colloq', '#7': 3.188, '#6': 8, '#5': '001', '#4': '601'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Yoga: Methods and Goals', '#7': None, '#6': 4, '#5': '001', '#4': '623'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Yoga: Methods and Goals', '#7': None, '#6': 1, '#5': '022', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Yoga: Methods and Goals', '#7': None, '#6': 1, '#5': '024', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 856, '#2': 'L&S', '#1': 'Yoga: Methods and Goals', '#7': None, '#6': 2, '#5': '060', '#4': '699'}
{'#8': [26.7, 40.0, 20.0, 6.7, None, None, None, None, None, None, None, None, 6.7, None, None], '#3': 872, '#2': 'L&S', '#1': 'SCANDINAVIAN STUDIES', '#7': 3.464, '#6': 15, '#5': '001', '#4': '102'}
{'#8': [57.1, 14.3, 14.3, None, None, 14.3, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'SCANDINAVIAN STUDIES', '#7': 3.357, '#6': 7, '#5': '002', '#4': '102'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Second Semester Norwegian', '#7': 4.0, '#6': 8, '#5': '001', '#4': '112'}
{'#8': [90.9, 9.1, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Second Semester Norwegian', '#7': 3.955, '#6': 11, '#5': '002', '#4': '112'}
{'#8': [85.7, 14.3, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Second Semester Danish', '#7': 3.929, '#6': 7, '#5': '001', '#4': '122'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Second Semester Finnish', '#7': None, '#6': 2, '#5': '001', '#4': '132'}
{'#8': [33.3, 33.3, 16.7, None, 16.7, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Second Year Norwegian', '#7': 3.333, '#6': 6, '#5': '001', '#4': '202'}
{'#8': [66.7, 33.3, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Second Year Swedish', '#7': 3.833, '#6': 6, '#5': '001', '#4': '212'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Second Year Danish', '#7': None, '#6': 2, '#5': '001', '#4': '222'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Directed Study', '#7': None, '#6': 1, '#5': '005', '#4': '299'}
{'#8': [16.7, None, 33.3, 16.7, 16.7, None, None, None, None, None, None, None, None, 16.7, None], '#3': 872, '#2': 'L&S', '#1': 'Directed Study', '#7': 2.9, '#6': 6, '#5': '001', '#4': '374'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Directed Study', '#7': None, '#6': 2, '#5': '002', '#4': '374'}
{'#8': [33.3, 33.3, 33.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Contemporary Scand Langs', '#7': 3.5, '#6': 6, '#5': '001', '#4': '401'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Old Norse', '#7': None, '#6': 3, '#5': '001', '#4': '408'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Intro to Scand Linguistics', '#7': None, '#6': 4, '#5': '001', '#4': '410'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Areas in Scandinavian Lit', '#7': None, '#6': 3, '#5': '001', '#4': '411'}
{'#8': [85.7, 14.3, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Contemporary Scand Lit', '#7': 3.929, '#6': 7, '#5': '001', '#4': '427'}
{'#8': [57.1, 28.6, 14.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Mythology of Scandinavia', '#7': 3.714, '#6': 7, '#5': '001', '#4': '429'}
{'#8': [72.7, None, 18.2, None, None, None, None, 9.1, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Topics-Scandinavian Literature', '#7': 3.833, '#6': 11, '#5': '001', '#4': '436'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Topics-Scandinavian Literature', '#7': None, '#6': 4, '#5': '001', '#4': '444'}
{'#8': [86.7, None, None, None, None, None, None, None, None, None, None, None, 13.3, None, None], '#3': 872, '#2': 'L&S', '#1': 'Topics-Scandinavian Literature', '#7': 4.0, '#6': 15, '#5': '002', '#4': '444'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Scand Decadence-European Cntxt', '#7': 4.0, '#6': 6, '#5': '001', '#4': '450'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Writing-HC Andersen for Majors', '#7': None, '#6': 2, '#5': '001', '#4': '475'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Writing-HC Andersen for Majors', '#7': None, '#6': 3, '#5': '001', '#4': '520'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Writing-HC Andersen for Majors', '#7': None, '#6': 3, '#5': '002', '#4': '520'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Special Topics', '#7': None, '#6': 1, '#5': '005', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Special Topics', '#7': None, '#6': 1, '#5': '014', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Directed Study', '#7': None, '#6': 2, '#5': '006', '#4': '799'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Directed Study', '#7': None, '#6': 1, '#5': '007', '#4': '799'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Independent Study', '#7': None, '#6': 4, '#5': '006', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 872, '#2': 'L&S', '#1': 'Independent Study', '#7': None, '#6': 1, '#5': '008', '#4': '990'}
{'#8': [21.4, 57.1, 17.9, None, 3.6, None, None, None, None, None, None, None, None, None, None], '#3': 875, '#2': 'L&S', '#1': 'Where Science Meets Society', '#7': 3.464, '#6': 28, '#5': '001', '#4': '201'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 875, '#2': 'L&S', '#1': 'Directed Study', '#7': None, '#6': 1, '#5': '002', '#4': '699'}
{'#8': [90.9, None, None, None, None, None, None, None, None, None, None, None, 9.1, None, None], '#3': 875, '#2': 'L&S', '#1': 'Sci, Technol & Med in Society', '#7': 4.0, '#6': 11, '#5': '001', '#4': '901'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 875, '#2': 'L&S', '#1': 'Current Topics-Sci & Tech St', '#7': None, '#6': 5, '#5': '001', '#4': '902'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 875, '#2': 'L&S', '#1': 'Current Topics-Sci & Tech St', '#7': None, '#6': 1, '#5': '001', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 875, '#2': 'L&S', '#1': 'Current Topics-Sci & Tech St', '#7': None, '#6': 1, '#5': '002', '#4': '999'}
{'#8': [50.0, 28.6, 7.1, None, None, None, 7.1, 7.1, None, None, None, None, None, None, None], '#3': 888, '#2': 'L&S', '#1': 'SLAVIC (SLAVIC LANGUAGES)', '#7': 3.462, '#6': 14, '#5': '001', '#4': '102'}
{'#8': [70.0, 25.0, None, None, 5.0, None, None, None, None, None, None, None, None, None, None], '#3': 888, '#2': 'L&S', '#1': 'SLAVIC (SLAVIC LANGUAGES)', '#7': 3.775, '#6': 20, '#5': '003', '#4': '102'}
{'#8': [61.5, 30.8, None, None, 7.7, None, None, None, None, None, None, None, None, None, None], '#3': 888, '#2': 'L&S', '#1': 'SLAVIC (SLAVIC LANGUAGES)', '#7': 3.692, '#6': 13, '#5': '004', '#4': '102'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 888, '#2': 'L&S', '#1': 'Russ Honor Tutorial-Slav102', '#7': 4.0, '#6': 7, '#5': '001', '#4': '182'}
{'#8': [70.0, None, 10.0, None, 10.0, None, None, 10.0, None, None, None, None, None, None, None], '#3': 888, '#2': 'L&S', '#1': 'Russ Honor Tutorial-Slav102', '#7': 3.667, '#6': 10, '#5': '001', '#4': '204'}
{'#8': [46.7, 13.3, 13.3, 20.0, 6.7, None, None, None, None, None, None, None, None, None, None], '#3': 888, '#2': 'L&S', '#1': 'Russ Honor Tutorial-Slav102', '#7': 3.367, '#6': 15, '#5': '002', '#4': '204'}
{'#8': [42.9, 28.6, 14.3, 14.3, None, None, None, None, None, None, None, None, None, None, None], '#3': 888, '#2': 'L&S', '#1': 'Fourth Semester Polish', '#7': 3.5, '#6': 7, '#5': '001', '#4': '208'}
