TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
MED														
SENIOR MEDICAL PROGRAM Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
882 SR MED Grades		GPA												
Extramur Elect-Obstet & Gyn 926 041 1		***						.	.	.		.	.	..
Extramur Elect-Pediatrics 929 043 1		***						.	.	.		.	.	..
Extramur Elect-Rehab Med 933 011 1		***						.	.	.		.	.	..
937 004 1		***						.	.	.		.	.	..
937 005 1		***						.	.	.		.	.	..
937 041 1		***						.	.	.		.	.	..
937 042 4		***						.	.	.		.	.	..
Extramural Elect-Intl Health Course Total 7		4.000	100.0 .  .  .  .  .		.	.	.	.	.	.			.  .	.  .
TRIUMPH IV: Adv Seminar 957 001 18		4.000	22.2 .....	.		77.8	.	.	.	.		.	.	..
882 SR MED Dept. Total 28		3.976	46.4 3.6 .  .  .  .		.	50.0	.	.	.	.			.  .	.  .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
GPA882 SR MEDGrades														
Prof Yr 3 1		***						.	.	.			.  .	.  .
Prof Yr 4 27		3.975	44.4 3.7 .  .  .  .		.	51.9	.	.	.	.			.  .	.  .
Professionals 28		3.976	46.4 3.6 .  .  .  .		.	50.0	.	.	.	.			.  .	.  .
Dept. Total 28		3.976	46.4 3.6 .  .  .  .		.	50.0	.	.	.	.			.  .	.  .
August 24, 2020														Page 417 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
MED														
SURGERY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
936 SURGERY Grades		GPA												
699 014	1	***						.	.	.		.	.	..
699 015	1	***						.	.	.		.	.	..
699 017	1	***						.	.	.		.	.	..
699 018	3	***						.	.	.		.	.	..
699 019	2	***						.	.	.		.	.	..
699 020	1	***						.	.	.		.	.	..
699 021	1	***						.	.	.		.	.	..
699 022	1	***						.	.	.		.	.	..
699 027	1	***						.	.	.		.	.	..
699 028	4	***						.	.	.		.	.	..
699 034	1	***						.	.	.		.	.	..
699 038	1	***						.	.	.		.	.	..
699 041	1	***						.	.	.		.	.	..
699 043	2	***						.	.	.		.	.	..
699 049	1	***						.	.	.		.	.	..
699 050	1	***						.	.	.		.	.	..
699 098	2	***						.	.	.		.	.	..
699 114	2	***						.	.	.		.	.	..
699 116	4	***						.	.	.		.	.	..
699 141	2	***						.	.	.		.	.	..
699 158	4	***						.	.	.		.	.	..
699 181	7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
699 184	2	***						.	.	.		.	.	..
Independent Study Course Total	46	3.991	95.7 2.2 .  .  .  .		.	.	.	.	.		.		.  .	2.2 .
910 005	2	***						.	.	.		.	.	..
910 006	3	***						.	.	.		.	.	..
910 041	2	***						.	.	.		.	.	..
910 062	1	***						.	.	.		.	.	..
910 091	1	***						.	.	.		.	.	..
910 100	1	***						.	.	.		.	.	..
910 101	1	***						.	.	.		.	.	..
Indep Reading & Rsrch in Surg Course Total	11		.  .  .  .  .  .		.	100.0	.	.	.		.		.  .	.  .
919 001	2	***						.	.	.		.	.	..
919 002	2	***						.	.	.		.	.	..
919 004	1	***						.	.	.		.	.	..
919 005	2	***						.	.	.		.	.	..
Individual Clinical Elect Surg Course Total	7		.  .  .  .  .  .		.	100.0	.	.	.		.		.  .	.  .
920 001	1	***						.	.	.		.	.	..
920 002	2	***						.	.	.		.	.	..
920 004	1	***						.	.	.		.	.	..
920 043	5	***						.	.	.		.	.	..
920 046	3	***						.	.	.		.	.	..
General Surgery Elective Course Total	12		.  .  .  .  .  .		.	100.0	.	.	.		.		.  .	.  .
August 24, 2020														Page 418 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
MED														
SURGERY Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
936 SURGERY Grades		GPA												
938 042	1	***						.	.	.		.	.	..
938 043	1	***						.	.	.		.	.	..
938 046	5	***						.	.	.		.	.	..
Inpt Acting Internship-Surgery Course Total	7		.  .  .  .  .  .		.	100.0	.	.	.		.		.  .	.  .
940 001	2	***						.	.	.		.	.	..
940 002	1	***						.	.	.		.	.	..
940 004	1	***						.	.	.		.	.	..
940 005	2	***						.	.	.		.	.	..
940 042	1	***						.	.	.		.	.	..
Audlt Orth for Non-Orthopedist Course Total	7		.  .  .  .  .  .		.	100.0	.	.	.		.		.  .	.  .
Upper Extrem Ortho-Marshfld 944 005	1	***						.	.	.		.	.	..
948 002	1	***						.	.	.		.	.	..
948 005	1	***						.	.	.		.	.	..
948 011	1	***						.	.	.		.	.	..
948 012	1	***						.	.	.		.	.	..
948 013	1	***						.	.	.		.	.	..
Otolaryngology Course Total	5	***												
954 005	1	***						.	.	.		.	.	..
954 011	1	***						.	.	.		.	.	..
954 012	1	***						.	.	.		.	.	..
Peripheral Vascular Elective Course Total	3	***												
956 002	2	***						.	.	.		.	.	..
956 005	1	***						.	.	.		.	.	..
Plastic&Reconstructive Surgery Course Total	3	***												
960 001	1	***						.	.	.		.	.	..
960 004	2	***						.	.	.		.	.	..
960 005	1	***						.	.	.		.	.	..
960 011	1	***						.	.	.		.	.	..
960 012	1	***						.	.	.		.	.	..
960 013	1	***						.	.	.		.	.	..
Transplantation Elective Course Total	7		.  .  .  .  .  .		.	100.0	.	.	.		.		.  .	.  .
962 001	1	***						.	.	.		.	.	..
962 011	1	***						.	.	.		.	.	..
962 012	1	***						.	.	.		.	.	..
Surgical Critical Care Course Total	3	***												
Cardiothoracic Surgery Electiv 963 002	1	***						.	.	.		.	.	..
967 004	1	***						.	.	.		.	.	..
967 012	1	***						.	.	.		.	.	..
Urology Elective Course Total	2	***												
Opt. Value, Quality and Safety 973 005	1	***						.	.	.		.	.	..
974 005	5	***						.	.	.		.	.	..
974 007	15		......	.		100.0	.	.	.	.		.	.	..
August 24, 2020														Page 419 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
MED														
SURGERY Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
936 SURGERY Grades		GPA												
974 008 13			......	.		100.0	.	.	.	.		.	.	..
974 012 5		***						.	.	.		.	.	..
Patient Ed. as Advocacy Strat. Course Total 38			.  .  .  .  .  .		.	100.0	.	.	.	.			.  .	.  .
Multidis Appr Colon Cancer P/T 975 005 2		***						.	.	.		.	.	..
Science of Obesity & Diabetes 976 004 10			......	.		100.0	.	.	.	.		.	.	..
Inj & Viol Prev 977 042 3		***						.	.	.		.	.	..
936 SURGERY Dept. Total 169		3.991	26.0 0.6 .  .  .  .		.	72.8	.	.	.	.			.  .	0.6 .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
GPA936 SURGERYGrades														
Freshmen 1		***						.	.	.			.  .	.  .
Sophomore 4		***						.	.	.			.  .	.  .
Junior 13		3.963	92.3 7.7 .  .  .  .		.	.	.	.	.	.			.  .	.  .
Senior 27		4.000	100.0 .  .  .  .  .		.	.	.	.	.	.			.  .	.  .
Undergraduates 45		3.991	97.8 2.2 .  .  .  .		.	.	.	.	.	.			.  .	.  .
Graduate 1		***						.	.	.			.  .	100.0 .
Prof Yr 2 2		***						.	.	.			.  .	.  .
Prof Yr 3 68			.  .  .  .  .  .		.	100.0	.	.	.	.			.  .	.  .
Prof Yr 4 53			.  .  .  .  .  .		.	100.0	.	.	.	.			.  .	.  .
Professionals 123			.  .  .  .  .  .		.	100.0	.	.	.	.			.  .	.  .
Dept. Total 169		3.991	26.0 0.6 .  .  .  .		.	72.8	.	.	.	.			.  .	0.6 .
August 24, 2020														Page 420 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades							Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison								
""			(Non-Cross Listed)								
MED											
MED College Total	7272	3.798	40.1 10.7 3.5 0.4 0.2 0.0	0.0	37.5	0.1	5.3	.	1.3	0.4 0.0	0.3 0.1
Summary by College/School	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I NW	NR Other
MED	Grades	GPA									
Freshmen	21	3.304	19.0 19.0 52.4 .  .  .	.	9.5	.	.	.	.	.  .	.  .
Sophomore	154	3.684	55.2 25.3 7.1 2.6 1.3 .	.	7.1	.	.	.	.	1.3 .	.  .
Junior	568	3.783	71.1 16.5 7.7 0.7 0.7 .	0.2	2.3	0.2	.	.	.	0.4 .	0.2 .
Senior	1143	3.842	76.6 12.2 5.9 0.8 0.3 0.1	.	3.6	0.3	.	.	.	0.3 .	.  .
Undergraduates	1886	3.806	72.6 14.6 7.1 0.9 0.5 0.1	0.1	3.6	0.2	.	.	.	0.4 .	0.1 .
Special	102	3.908	64.7 6.9 2.9 .  .  .	.	20.6	.	.	.	.	.  1.0	3.9 .
Graduate	1415	3.821	45.7 9.5 3.1 0.5 0.1 .	.	30.0	0.2	2.9	.	6.4	0.5 .	1.1 0.1
Prof Yr 1	1270	3.695	29.8 18.3 4.1 0.2 0.1 .	.	31.3	0.1	14.8	.	.	0.6 .	0.1 0.4
Prof Yr 2	437	3.832	51.7 16.5 1.6 .  .  .	.	7.8	.	22.2	.	0.2	.  .	.  .
Prof Yr 3	931	3.900	0.9 .  0.1 .  .  .	.	94.5	.	4.2	.	0.1	0.1 .	0.1 .
Prof Yr 4	1275	3.834	20.6 4.7 1.3 0.1 .  .	0.2	71.0	0.1	1.6	.	0.2	0.3 .	.  .
Professionals	3913	3.773	22.4 9.3 1.9 0.1 0.0 .	0.1	56.6	0.1	8.8	.	0.1	0.3 .	0.1 0.1
College Total	7316	3.798	40.4 10.7 3.5 0.4 0.2 0.0	0.0	37.3	0.1	5.3	.	1.3	0.4 0.0	0.3 0.1
August 24, 2020											Page 421 of 447
* Please note: This report does not combine crosslisted courses											
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.											
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"											
TERM : 1204		Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020		University of Wisconsin - Madison											
""		(Non-Cross Listed)											
NUR													
COLLABORATIVE NURSING PRG Section #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
691 CNP Grades	GPA												
Transitions: Pract & Prof 306 001 7	3.214	42.9 14.3 .28.6 14.3 .	.		.	.	.	.	.		.	.	..
Foundations Prof Nursing Pract 407 003 8	3.938	87.5 12.5 ....	.		.	.	.	.	.		.	.	..
441 001 3	***						.	.	.		.	.	..
441 002 3	***						.	.	.		.	.	..
441 003 4	***						.	.	.		.	.	..
Chronic Care Management Course Total 10	3.333	.  70.0 10.0 10.0 .  .		.	10.0	.	.	.	.			.  .	.  .
Nrsg Research & EB Practice 446 003 5	***						.	.	.		.	.	..
Leadership and Management 447 003 7	3.786	57.1 42.9 ....	.		.	.	.	.	.		.	.	..
453 001 3	***						.	.	.		.	.	..
453 003 3	***						.	.	.		.	.	..
Info Mgt & Hlthcare Tech Course Total 6	3.750	66.7 16.7 16.7 .  .  .		.	.	.	.	.	.			.  .	.  .
454 001 3	***						.	.	.		.	.	..
454 002 2	***						.	.	.		.	.	..
454 003 1	***						.	.	.		.	.	..
Community Health Nursing Course Total 6	3.833	66.7 33.3 .  .  .  .		.	.	.	.	.	.			.  .	.  .
490 003 1	***						.	.	.		.	.	..
490 005 1	***						.	.	.		.	.	..
Special Topics in Nursing Course Total 2	***												
Capstone Practicum for RN's 519 001 18	3.794	61.1 27.8 5.6 ...	.		.	.	.	.	.		5.6	.	..
691 CNP Dept. Total 69	3.694	55.1 31.9 4.3 4.3 1.4 .		.	1.4	.	.	.	.		1.4	.	.  .
Summary by Level #	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
GPA691 CNPGrades													
Junior 6	3.417	16.7 66.7 .  16.7 .  .		.	.	.	.	.	.			.  .	.  .
Senior 61	3.712	57.4 29.5 4.9 3.3 1.6 .		.	1.6	.	.	.	.		1.6	.	.  .
Undergraduates 67	3.685	53.7 32.8 4.5 4.5 1.5 .		.	1.5	.	.	.	.		1.5	.	.  .
Special 2	***						.	.	.			.  .	.  .
Dept. Total 69	3.694	55.1 31.9 4.3 4.3 1.4 .		.	1.4	.	.	.	.		1.4	.	.  .
August 24, 2020													Page 422 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
NUR													
NURSING Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
692 NURSING Grades		GPA											
Health Care: Intrdis Appr 105 001	128	3.766	68.8 18.0 5.5 1.6 .0.8	0.8	3.9	.	.	.	.		.	0.8	..
299 053	1	***					.	.	.		.	.	..
299 067	1	***					.	.	.		.	.	..
Independent Reading Course Total	2	***											
323 001	81	3.437	16.0 56.8 21.0 3.7 ..	.	2.5	.	.	.	.		.	.	..
323 002	80	3.449	13.8 62.5 18.8 2.5 ..	.	2.5	.	.	.	.		.	.	..
Hlth & Ill Indiv Fam Course Total	161	3.443	14.9 59.6 19.9 3.1 .  .	.	2.5	.	.	.		.		.  .	.  .
324 001	80	3.819	65.0 33.8 1.3 ...	.	.	.	.	.	.		.	.	..
324 002	80	3.856	72.5 26.3 1.3 ...	.	.	.	.	.	.		.	.	..
Mtg Psychosocial Hlth Needs Course Total	160	3.838	68.8 30.0 1.3 .  .  .	.	.	.	.	.		.		.  .	.  .
325 001	80	3.886	78.8 17.5 2.5 ...	.	1.3	.	.	.	.		.	.	..
325 002	80	3.869	73.8 26.3 ....	.	.	.	.	.	.		.	.	..
Profnlism in Hlth Care Stgs Course Total	160	3.877	76.3 21.9 1.3 .  .  .	.	0.6	.	.	.		.		.  .	.  .
Hlth Ill Indiv Fam Exp Lrng I 326 001	162		......	.	.	.	100.0	.	.		.	.	..
Hlt Ill Indiv Fam Exp Lrng II 327 001	162		......	.	.	.	100.0	.	.		.	.	..
436 001	25		......	.	.	.	100.0	.	.		.	.	..
436 002	8		......	.	.	.	100.0	.	.		.	.	..
436 003	8		......	.	.	.	100.0	.	.		.	.	..
Hlth & Ill Indiv Fam Cmty: EL Course Total	41		.  .  .  .  .  .	.	.	.	100.0	.		.		.  .	.  .
Soc Justice in Loc & Glb Stgs 437 001	41	3.976	95.1 4.9 ....	.	.	.	.	.	.		.	.	..
442 001	11	3.864	72.7 27.3 ....	.	.	.	.	.	.		.	.	..
442 002	7	3.929	85.7 14.3 ....	.	.	.	.	.	.		.	.	..
Hlth Syst, Polc, & Econ Course Total	18	3.889	77.8 22.2 .  .  .  .	.	.	.	.	.		.		.  .	.  .
443 001	79	3.816	70.9 22.8 5.1 1.3 ..	.	.	.	.	.	.		.	.	..
443 002	80	3.869	80.0 15.0 3.8 1.3 ..	.	.	.	.	.	.		.	.	..
443 003	41	3.951	90.2 9.8 ....	.	.	.	.	.	.		.	.	..
Adv Cnpts in Cplx Nrsg Prac Course Total	200	3.865	78.5 17.0 3.5 1.0 .  .	.	.	.	.	.		.		.  .	.  .
444 001	68	3.735	52.9 42.6 2.9 1.5 ..	.	.	.	.	.	.		.	.	..
444 002	73	3.644	34.2 60.3 5.5 ...	.	.	.	.	.	.		.	.	..
Hlth Syst, Polc, Econ, & Rsrch Course Total	141	3.688	43.3 51.8 4.3 0.7 .  .	.	.	.	.	.		.		.  .	.  .
445 001	79	3.962	92.4 7.6 ....	.	.	.	.	.	.		.	.	..
445 002	80	3.981	97.5 1.3 1.3 ...	.	.	.	.	.	.		.	.	..
Transformative Nrsg Capstone Course Total	159	3.972	95.0 4.4 0.6 .  .  .	.	.	.	.	.		.		.  .	.  .
446 001	71		......	.	.	.	100.0	.	.		.	.	..
446 002	67		......	.	.	.	100.0	.	.		.	.	..
446 003	5	***					.	.	.		.	.	..
446 004	4	***					.	.	.		.	.	..
446 005	73		......	.	.	.	100.0	.	.		.	.	..
446 006	68		......	.	.	.	100.0	.	.		.	.	..
446 007	5	***					.	.	.		.	.	..
446 008	5	***					.	.	.		.	.	..
446 009	4	***					.	.	.		.	.	..
August 24, 2020													Page 423 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
NUR														
NURSING Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
692 NURSING Grades		GPA												
446 010	41		......	.		.	.	100.0	.	.		.	.	..
446 011	41		......	.		.	.	100.0	.	.		.	.	..
446 012	8		......	.		.	.	100.0	.	.		.	.	..
446 014	8		......	.		.	.	100.0	.	.		.	.	..
Adv Cnpts in Cplx Nrsg Prc: EL Course Total	400		.  .  .  .  .  .		.	.	.	100.0	.		.		.  .	.  .
Scholarship for Evd-Bsd Pract 447 003	41	3.725	51.2 39.0 7.3 ...	.		2.4	.	.	.	.		.	.	..
Leadership in Nursing 448 003	41	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
470 001	5	***						.	.	.		.	.	..
470 002	1	***						.	.	.		.	.	..
470 003	4	***						.	.	.		.	.	..
School Nursing and Comm Hlth Course Total	10	3.500	40.0 30.0 30.0 .  .  .		.	.	.	.	.		.		.  .	.  .
590 001	18	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
590 002	5	***						.	.	.		.	.	..
Contemp Practices-Nursing Course Total	23	3.978	95.7 4.3 .  .  .  .		.	.	.	.	.		.		.  .	.  .
601 001	25	3.960	96.0 .4.0 ...	.		.	.	.	.	.		.	.	..
601 002	6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Advanced Assessment Course Total	31	3.968	96.8 .  3.2 .  .  .		.	.	.	.	.		.		.  .	.  .
Phrmcotherpeut-Adv Prac Nurses 605 001	30	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Nrsg Hnrs Rsrch Sem 679 001	18	3.972	94.4 5.6 ....	.		.	.	.	.	.		.	.	..
682 015	1	***						.	.	.		.	.	..
682 018	1	***						.	.	.		.	.	..
682 022	1	***						.	.	.		.	.	..
682 028	1	***						.	.	.		.	.	..
682 030	1	***						.	.	.		.	.	..
682 038	1	***						.	.	.		.	.	..
682 053	1	***						.	.	.		.	.	..
682 054	2	***						.	.	.		.	.	..
682 067	1	***						.	.	.		.	.	..
682 070	1	***						.	.	.		.	.	..
682 075	1	***						.	.	.		.	.	..
682 081	1	***						.	.	.		.	.	..
682 096	1	***						.	.	.		.	.	..
Senior Honors Thesis Course Total	14	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
698 028	1	***						.	.	.		.	.	..
698 053	1	***						.	.	.		.	.	..
Directed Study in Nursing Course Total	2	***												
699 021	3	***						.	.	.		.	.	..
699 054	1	***						.	.	.		.	.	..
699 070	4	***						.	.	.		.	.	..
699 081	4	***						.	.	.		.	.	..
699 095	1	***						.	.	.		.	.	..
Directed Study in Nursing Course Total	13	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
August 24, 2020														Page 424 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
NUR														
NURSING Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
692 NURSING Grades		GPA												
Hlth Care & Public Policy 703 001	31	3.984	96.8 3.2 ....	.		.	.	.	.	.		.	.	..
727 010	9	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
727 020	7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
727 040	4	***						.	.	.		.	.	..
727 060	6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Foundations APN Clin Pract II Course Total	26	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
729 010	7	3.929	85.7 14.3 ....	.		.	.	.	.	.		.	.	..
729 020	4	***						.	.	.		.	.	..
729 021	3	***						.	.	.		.	.	..
729 040	4	***						.	.	.		.	.	..
729 060	3	***						.	.	.		.	.	..
729 061	3	***						.	.	.		.	.	..
729 070	2	***						.	.	.		.	.	..
APN Clin Appl & Role Dev II Course Total	26	3.967	92.3 7.7 .  .  .  .		.	.	.	.	.		.		.  .	.  .
746 001	4	***						.	.	.		.	.	..
746 002	1	***						.	.	.		.	.	..
Intrdis Care-Chld/Spec Hlth Nd Course Total	5	***												
Health Prgm Planning, Eval, QI 761 001	20	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Found of Curr Dev&Eval-Nurs Ed 785 001	15	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Found of Teach&Learn in Nursng 786 001	5	***						.	.	.		.	.	..
799 018	1	***						.	.	.		.	.	..
799 062	1	***						.	.	.		.	.	..
Independent Study Course Total	2	***												
Adv Quant Design & Methods 803 001	8	3.938	87.5 12.5 ....	.		.	.	.	.	.		.	.	..
Eval & App Evidence-Based Prac 806 001	33	3.939	87.9 12.1 ....	.		.	.	.	.	.		.	.	..
829 010	6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
829 020	6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
829 021	6	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
829 040	3	***						.	.	.		.	.	..
829 060	3	***						.	.	.		.	.	..
Clinical Leadership IV Course Total	24	4.000	100.0 .  .  .  .  .		.	.	.	.	.		.		.  .	.  .
906 001	2	***						.	.	.		.	.	..
906 002	5	***						.	.	.		.	.	..
906 003	4	***						.	.	.		.	.	..
906 004	4	***						.	.	.		.	.	..
906 005	4	***						.	.	.		.	.	..
906 006	5	***						.	.	.		.	.	..
Scholarly Project Course Total	24		.  .  .  .  .  .		.	95.8	.	.	.		.	4.2	.	.  .
990 038	1	***						.	.	.		.	.	..
990 075	2	***						.	.	.		.	.	..
990 095	2	***						.	.	.		.	.	..
Thesis Research Course Total	5	***												
August 24, 2020														Page 425 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
NUR													
NURSING Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
692 NURSING Grades		GPA											
999 011 1		***						.	.	.	.	.	..
999 022 2		***						.	.	.	.	.	..
999 030 1		***						.	.	.	.	.	..
999 038 2		***						.	.	.	.	.	..
999 054 1		***						.	.	.	.	.	..
999 075 4		***						.	.	.	.	.	..
999 095 2		***						.	.	.	.	.	..
999 096 1		***						.	.	.	.	.	..
999 097 1		***						.	.	.	.	.	..
Advanced Independent Study Course Total 15		4.000	66.7 .  .  .  .  .	.		6.7	.	.	.	13.3	6.7	.	6.7 .
692 NURSING Dept. Total 2397		3.810	48.3 14.6 2.7 0.4 .  0.0	0.0		1.5	.	32.0	.	0.2	0.1	0.0	0.0 .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA692 NURSINGGrades													
Freshmen 5		***						.	.	.		.  .	.  .
Sophomore 30		3.785	70.0 16.7 10.0 3.3 .  .	.		.	.	.	.	.		.  .	.  .
Junior 239		3.793	50.6 17.2 3.3 .  .  .	.		1.3	.	27.6	.	.		.  .	.  .
Senior 1808		3.775	41.4 16.1 2.8 0.4 .  0.1	.		0.4	.	38.8	.	.		.  0.1	.  .
Undergraduates 2082		3.775	42.8 16.3 2.9 0.5 .  0.0	0.0		0.5	.	36.8	.	.		.  0.0	.  .
Special 15		3.705	60.0 26.7 13.3 .  .  .	.		.	.	.	.	.		.  .	.  .
Graduate 298		3.981	85.6 2.7 0.3 .  .  .	.		8.7	.	.	.	1.7	0.7	.	0.3 .
Prof Yr 4 2		***						.	.	.		.  .	.  .
Professionals 2		***						.	.	.		.  .	.  .
Dept. Total 2397		3.810	48.3 14.6 2.7 0.4 .  0.0	0.0		1.5	.	32.0	.	0.2	0.1	0.0	0.0 .
August 24, 2020													Page 426 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades							Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison								
""			(Non-Cross Listed)								
NUR											
NUR College Total	2466	3.805	48.5 15.1 2.7 0.5 0.0 0.0	0.0	1.5	.	31.1	.	0.2	0.1 0.0	0.0 .
Summary by College/School	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I NW	NR Other
NUR	Grades	GPA									
Freshmen	5	***					.	.	.	.  .	.  .
Sophomore	30	3.785	70.0 16.7 10.0 3.3 .  .	.	.	.	.	.	.	.  .	.  .
Junior	245	3.778	49.8 18.4 3.3 0.4 .  .	.	1.2	.	26.9	.	.	.  .	.  .
Senior	1869	3.772	41.9 16.5 2.8 0.5 0.1 0.1	.	0.4	.	37.5	.	.	0.1 0.1	.  .
